hub,driver_id,zip,distance_km,delivery_time_min,sla_target_min
North,D01,110001,12,35,40
North,D02,110002,8,22,40
North,D03,110001,15,48,40
South,D04,400001,20,55,40
South,D05,400002,10,28,40
South,D06,400001,14,40,40
East,D07,700001,25,70,40
East,D08,700002,9,25,40
East,D09,700001,18,52,40
West,D10,560001,11,30,40
West,D11,560002,16,45,40
West,D12,560001,22,60,40
North,D13,110002,13,38,40
South,D14,400001,19,50,40
East,D15,700002,7,20,40
West,D16,560001,17,44,40
North,D17,110001,21,58,40
South,D18,400002,10,29,40
East,D19,700002,14,39,40
West,D20,560001,23,63,40
